query-id	corpus-id	score
qid1366	did299	1
qid1372	did1321	1
qid1386	did1335	1
qid1396	did1345	1
qid1398	did1347	1
qid1407	did1355	1
qid1408	did1356	1
qid1435	did1382	1
qid1439	did1386	1
qid1444	did1391	1
qid1464	did1410	1
qid1472	did1418	1
qid1477	did1423	1
qid1479	did1425	1
qid1487	did1432	1
qid1500	did1445	1
qid1503	did1448	1
qid1514	did1458	1
qid1535	did1477	1
qid1545	did1039	1
qid1561	did1500	1
qid1578	did1516	1
qid1582	did1520	1
qid1602	did1534	1
qid1608	did1539	1
qid1627	did1558	1
qid1629	did1560	1
qid1635	did1566	1
qid1646	did1577	1
qid1647	did1578	1
qid1651	did1582	1
qid1655	did1586	1
qid1673	did1601	1
qid1684	did1611	1
qid1705	did1632	1
qid1706	did1633	1
qid1723	did1646	1
qid1731	did1653	1
qid1747	did1668	1
qid1797	did1716	1
qid1802	did1720	1
qid1811	did1729	1
qid1814	did1732	1
qid1825	did1743	1
qid1843	did1760	1
qid1845	did420	1
qid1847	did1763	1
qid1863	did1779	1
qid1868	did1784	1
qid1875	did1791	1
qid1881	did1797	1
qid1887	did1803	1
qid1899	did1815	1
qid1901	did1817	1
qid1910	did1826	1
qid1913	did1829	1
qid1916	did1832	1
qid1938	did1853	1
qid1946	did1861	1
qid1953	did1867	1
qid1972	did1886	1
qid1987	did1900	1
qid1996	did1909	1
qid2003	did1916	1
qid2007	did1919	1
qid2009	did1920	1
qid2021	did1931	1
qid2034	did1942	1
qid2040	did1948	1
qid2046	did1954	1
qid2052	did327	1
qid2064	did1969	1
qid2068	did1972	1
qid2069	did1973	1
qid2076	did1979	1
qid2082	did1985	1
qid2096	did1997	1
qid2115	did2015	1
qid2126	did2026	1
qid2129	did2029	1
qid2146	did2046	1
qid2150	did2050	1
qid2155	did2055	1
qid2159	did2059	1
qid2160	did2060	1
qid2163	did2063	1
qid2165	did2065	1
qid2170	did2070	1
qid2173	did2073	1
qid2174	did2074	1
qid2181	did2081	1
qid2213	did2109	1
qid2232	did2127	1
qid2314	did2204	1
qid2318	did2208	1
qid2330	did2220	1
qid2370	did2255	1
qid2375	did2260	1
qid2379	did2263	1
qid2390	did2273	1
qid2391	did2274	1
qid2403	did2283	1
qid2416	did2296	1
qid2418	did2298	1
qid2422	did2302	1
qid2432	did942	1
qid2451	did2328	1
qid2456	did2332	1
qid2467	did2343	1
qid2470	did2346	1
qid2477	did1894	1
qid2478	did2353	1
qid2479	did2354	1
qid2487	did2362	1
qid2500	did2374	1
qid2505	did2379	1
qid2506	did2380	1
qid2508	did2382	1
qid2539	did2411	1
qid2540	did2412	1
qid2542	did719	1
qid2543	did2414	1
qid2544	did2415	1
qid2549	did2420	1
qid2554	did2425	1
qid2555	did2426	1
qid2568	did2438	1
qid2569	did2439	1
qid2574	did2443	1
qid2576	did2445	1
qid2578	did2447	1
qid2580	did2449	1
qid2582	did1422	1
qid2597	did2465	1
qid2610	did634	1
qid2619	did2484	1
qid2620	did2485	1
qid2626	did2490	1
qid2644	did495	1
qid2653	did2513	1
qid2660	did2520	1
qid2674	did2532	1
qid2704	did2558	1
qid2705	did2559	1
qid2710	did2563	1
qid2721	did2573	1
qid2733	did2585	1
qid2737	did2589	1
qid2748	did2599	1
qid2751	did2602	1
qid2758	did2609	1
qid2773	did2624	1
qid2779	did2630	1
qid2795	did2646	1
qid2811	did2660	1
qid2826	did2675	1
qid2859	did2705	1
qid2862	did2707	1
qid2863	did2708	1
qid2871	did2715	1
qid2900	did2741	1
qid2901	did2742	1
qid2905	did2746	1
qid2909	did2749	1
qid2912	did2752	1
qid2934	did2772	1
qid2935	did2773	1
qid2946	did2783	1
qid2955	did1551	1
qid2963	did2799	1
qid2992	did2825	1
qid2995	did2828	1
qid3000	did2833	1
qid3006	did2838	1
qid3010	did2841	1
qid3016	did2847	1
qid3019	did2850	1
qid3038	did2868	1
qid3042	did2871	1
qid3054	did2881	1
qid3060	did2886	1
qid3068	did2892	1
qid3083	did2905	1
qid3106	did2927	1
qid3111	did2931	1
qid3135	did2954	1
qid3147	did2964	1
qid3149	did2909	1
qid3151	did2966	1
qid3156	did956	1
qid3167	did2979	1
qid3176	did2987	1
qid3183	did2993	1
qid3187	did2997	1
qid3188	did2034	1
qid3193	did1021	1
qid3195	did3003	1
qid3210	did3017	1
qid3218	did3024	1
qid3220	did3026	1
qid3222	did3028	1
qid3227	did3033	1
qid3236	did3040	1
qid3241	did3045	1
qid3244	did1670	1
qid3245	did3048	1
qid3247	did3050	1
qid3248	did3051	1
qid3254	did3056	1
qid3255	did3057	1
qid3266	did3066	1
qid3274	did1882	1
qid3288	did3086	1
qid3300	did3096	1
qid3308	did3102	1
qid3315	did3108	1
qid3316	did3109	1
qid3328	did3119	1
qid3330	did3121	1
qid3360	did3147	1
qid3371	did3157	1
qid3396	did3178	1
qid3405	did3186	1
qid3412	did3192	1
qid3423	did3203	1
qid3430	did3210	1
qid3444	did3221	1
qid3455	did3230	1
qid3462	did3236	1
qid3465	did3239	1
qid3486	did3258	1
qid3500	did3271	1
qid3523	did3292	1
qid3539	did2538	1
qid3546	did3312	1
qid3553	did3319	1
qid3558	did3324	1
qid3561	did3327	1
qid3580	did388	1
qid3590	did3350	1
qid3600	did3359	1
qid3611	did3370	1
qid3623	did3378	1
qid3629	did3384	1
qid3638	did3393	1
qid3655	did3408	1
qid3665	did3418	1
qid3670	did3422	1
qid3710	did3456	1
qid3724	did3469	1
qid3735	did3477	1
qid3746	did3488	1
qid3765	did3505	1
qid3811	did3549	1
qid3824	did3562	1
qid3827	did3565	1
qid3833	did3571	1
qid3835	did3573	1
qid3838	did3576	1
qid3846	did3583	1
qid3859	did3595	1
qid3868	did3603	1
qid3880	did3613	1
qid3894	did3625	1
qid3896	did3626	1
qid3935	did3337	1
qid3977	did3694	1
qid3980	did3697	1
qid3983	did3700	1
qid3992	did3708	1
qid4007	did3723	1
qid4014	did3730	1
qid4019	did3735	1
qid4028	did3744	1
qid4029	did3745	1
qid4031	did3747	1
qid4035	did3751	1
qid4046	did3760	1
qid4053	did3766	1
qid4088	did3794	1
qid4111	did3814	1
qid4112	did290	1
qid4121	did2473	1
qid4138	did3837	1
qid4149	did3847	1
qid4154	did3852	1
qid4155	did3853	1
qid4157	did634	1
qid4167	did3863	1
qid4174	did3870	1
qid4176	did386	1
qid4181	did3875	1
qid4193	did3887	1
qid4207	did3900	1
qid4209	did3902	1
qid4214	did3906	1
qid4216	did3908	1
qid4219	did3911	1
qid4221	did3913	1
qid4230	did3921	1
qid4240	did3931	1
qid4250	did3940	1
qid4252	did3941	1
qid4256	did3944	1
qid4274	did3960	1
qid4275	did3961	1
qid4284	did3969	1
qid4285	did3970	1
qid4291	did1253	1
qid4304	did3983	1
qid4305	did3984	1
qid4306	did3985	1
qid4308	did3986	1
qid4309	did3987	1
qid4315	did3992	1
qid4330	did2218	1
qid4347	did4018	1
qid4357	did4028	1
qid4362	did4031	1
qid4367	did4035	1
qid4370	did4038	1
qid4375	did4043	1
qid4392	did4057	1
qid4393	did4058	1
qid4396	did3315	1
qid4397	did4060	1
qid4402	did4063	1
qid4405	did4066	1
qid4457	did4113	1
qid4471	did4125	1
qid4474	did4128	1
qid4478	did4132	1
qid4481	did4135	1
qid4484	did4138	1
qid4487	did4140	1
qid4491	did4144	1
qid4496	did4149	1
qid4500	did4153	1
qid4501	did4154	1
qid4507	did657	1
qid4514	did4165	1
qid4515	did4166	1
qid4535	did1864	1
qid4542	did4190	1
qid4547	did4195	1
qid4548	did4196	1
qid4560	did4208	1
qid4565	did4213	1
qid4566	did4214	1
qid4567	did2235	1
qid4568	did4215	1
qid4576	did4221	1
qid4578	did4223	1
qid4642	did4282	1
qid4668	did4293	1
qid4669	did4304	1
qid4700	did4331	1
qid4719	did4344	1
qid4732	did360	1
qid4738	did4359	1
qid4744	did4363	1
qid4745	did4364	1
qid4753	did4371	1
qid4755	did4373	1
qid4762	did4378	1
qid4768	did4383	1
qid4770	did4385	1
qid4790	did4402	1
qid4796	did4407	1
qid4808	did4418	1
qid4813	did4423	1
qid4816	did1619	1
qid4819	did4428	1
qid4820	did4429	1
qid4830	did4438	1
qid4832	did4440	1
qid4834	did763	1
qid4839	did569	1
qid4851	did4456	1
qid4854	did4459	1
qid4865	did4470	1
qid4875	did2783	1
qid4893	did4492	1
qid4895	did4494	1
qid4902	did4499	1
qid4911	did4506	1
qid4915	did4510	1
qid4916	did1848	1
qid4919	did4512	1
qid4922	did4515	1
qid4942	did4532	1
qid4969	did1699	1
qid4982	did4568	1
qid4996	did4579	1
qid5007	did4588	1
qid5015	did4595	1
qid5019	did4599	1
qid5031	did4608	1
qid5033	did4610	1
qid5036	did4613	1
qid5037	did4614	1
qid5051	did4622	1
qid5074	did4641	1
qid5107	did4668	1
qid5108	did4669	1
qid5110	did4671	1
qid5115	did4676	1
qid5121	did4681	1
qid5131	did4688	1
qid5137	did4693	1
qid5143	did4698	1
qid5145	did4700	1
qid5152	did4705	1
qid5166	did4718	1
qid5191	did4740	1
qid5225	did4769	1
qid5244	did4788	1
qid5251	did4794	1
qid5255	did4798	1
qid5261	did4803	1
qid5262	did4804	1
qid5263	did4805	1
qid5265	did4807	1
qid5289	did4829	1
qid5291	did4831	1
qid5298	did139	1
qid5312	did4847	1
qid5315	did4849	1
qid5323	did4856	1
qid5325	did4857	1
qid5338	did4870	1
qid5341	did4873	1
qid5342	did4874	1
qid5343	did896	1
qid5355	did4886	1
qid5391	did4921	1
qid5404	did4932	1
qid5424	did4948	1
qid5425	did4949	1
qid5449	did4969	1
qid5459	did4979	1
qid5479	did4998	1
qid5488	did5007	1
qid5507	did423	1
qid5520	did5036	1
qid5530	did5043	1
qid5537	did5049	1
qid5550	did1936	1
qid5551	did5060	1
qid5553	did5062	1
qid5557	did5065	1
qid5575	did5079	1
qid5584	did5087	1
qid5594	did5095	1
qid5596	did3389	1
qid5608	did5105	1
qid5615	did5111	1
qid5621	did5116	1
qid5643	did5135	1
qid5670	did5157	1
qid5701	did5183	1
qid5705	did5187	1
qid5706	did5188	1
qid5710	did5192	1
qid5728	did5210	1
qid5736	did5217	1
qid5741	did5222	1
qid5750	did5229	1
qid5763	did3578	1
qid5764	did5240	1
qid5766	did5242	1
qid5793	did5267	1
qid5803	did5276	1
qid5815	did1898	1
qid5816	did5287	1
qid5828	did5299	1
qid5864	did147	1
qid5869	did5332	1
qid5879	did5340	1
qid5885	did5346	1
qid5905	did5362	1
qid5909	did5365	1
qid5934	did5385	1
qid5935	did5386	1
qid5937	did5387	1
qid5943	did5390	1
qid5968	did5413	1
qid5976	did5420	1
qid6005	did5444	1
qid6024	did5459	1
qid6029	did5462	1
qid6037	did5469	1
qid6043	did235	1
qid6069	did5497	1
qid6089	did5517	1
qid6093	did5521	1
qid6109	did5533	1
qid6113	did4116	1
qid6125	did5545	1
qid6130	did3243	1
qid6132	did5550	1
qid6146	did5563	1
qid6155	did5569	1
qid6158	did5571	1
qid6161	did5573	1
qid6164	did5576	1
qid6170	did5581	1
qid6171	did5582	1
qid6178	did5588	1
qid6198	did5605	1
qid6213	did5619	1
qid6229	did5632	1
qid6236	did5637	1
qid6266	did5663	1
qid6272	did5668	1
qid6274	did5670	1
qid6280	did5676	1
qid6281	did5677	1
qid6290	did5685	1
qid6295	did2346	1
qid6300	did5694	1
qid6301	did5695	1
qid6321	did5711	1
qid6332	did5719	1
qid6336	did5722	1
qid6338	did5724	1
qid6354	did5736	1
qid6366	did5747	1
qid6370	did2218	1
qid6375	did385	1
qid6385	did5760	1
qid6415	did5786	1
qid6428	did5799	1
qid6430	did5801	1
qid6434	did5805	1
qid6448	did5816	1
qid6485	did5846	1
qid6508	did2746	1
qid6542	did5894	1
qid6552	did5902	1
qid6556	did5905	1
qid6560	did5908	1
qid6562	did5079	1
qid6565	did5912	1
qid6574	did5921	1
qid6576	did5923	1
qid6587	did5933	1
qid6601	did5946	1
qid6608	did5953	1
qid6653	did5995	1
qid6664	did6004	1
qid6683	did6020	1
qid6686	did6023	1
qid6692	did6029	1
qid6695	did6032	1
qid6696	did6033	1
qid6701	did6037	1
qid6704	did6039	1
qid6717	did6049	1
qid6737	did6067	1
qid6738	did6068	1
qid6739	did6069	1
qid6764	did6092	1
qid6765	did2602	1
qid6770	did6097	1
qid6786	did6109	1
qid6808	did6128	1
qid6841	did6158	1
qid6845	did6162	1
qid6861	did6175	1
qid6870	did3482	1
qid6872	did1148	1
qid6875	did6185	1
qid6878	did6188	1
qid6889	did6199	1
qid6892	did6202	1
qid6907	did6217	1
qid6911	did6220	1
qid6912	did6221	1
qid6932	did6241	1
qid6934	did6243	1
qid6947	did6255	1
qid6954	did6260	1
qid6961	did6266	1
qid7025	did6317	1
qid7034	did6325	1
qid7060	did6348	1
qid7063	did6351	1
qid7068	did6355	1
qid7084	did6370	1
qid7096	did6379	1
qid7098	did78	1
qid7108	did6389	1
qid7129	did6409	1
qid7142	did6420	1
qid7149	did6387	1
qid7164	did6437	1
qid7190	did6459	1
qid7234	did6499	1
qid7236	did6501	1
qid7239	did3184	1
qid7240	did6504	1
qid7241	did5941	1
qid7245	did6508	1
qid7252	did6514	1
qid7257	did6519	1
qid7261	did6523	1
qid7264	did6526	1
qid7266	did6528	1
qid7289	did6547	1
qid7299	did6555	1
qid7301	did6557	1
qid7312	did6565	1
qid7315	did6568	1
qid7322	did6572	1
qid7335	did6582	1
qid7340	did6585	1
qid7355	did6597	1
qid7358	did6600	1
qid7367	did6608	1
qid7389	did1821	1
qid7393	did6628	1
qid7420	did6650	1
qid7432	did6659	1
qid7438	did5375	1
qid7446	did6670	1
qid7507	did3988	1
qid7514	did6726	1
qid7521	did3214	1
qid7529	did4181	1
qid7540	did4996	1
qid7546	did6753	1
qid7552	did2197	1
qid7553	did6757	1
qid7567	did3790	1
qid7577	did6775	1
qid7582	did6780	1
qid7603	did6794	1
qid7610	did6799	1
qid7611	did6800	1
qid7617	did6803	1
qid7634	did6819	1
qid7637	did6822	1
qid7638	did743	1
qid7644	did2972	1
qid7649	did6831	1
qid7660	did5841	1
qid7664	did6843	1
qid7675	did6852	1
qid7723	did4820	1
qid7726	did6894	1
qid7748	did6912	1
qid7762	did6924	1
qid7767	did6929	1
qid7773	did6932	1
qid7812	did1077	1
qid7824	did6971	1
qid7829	did2742	1
qid7833	did6978	1
qid7835	did6980	1
qid7860	did902	1
qid7889	did569	1
qid7890	did7020	1
qid7932	did7053	1
qid7933	did7054	1
qid7964	did7078	1
qid7968	did7082	1
qid7981	did7095	1
qid7984	did7098	1
qid7992	did7106	1
qid7998	did7108	1
qid8000	did7110	1
qid8020	did7128	1
qid8023	did7131	1
qid8032	did7139	1
qid8038	did7144	1
qid8039	did7145	1
qid8065	did7168	1
qid8073	did7174	1
qid8074	did6785	1
qid8078	did7177	1
qid8080	did7179	1
qid8104	did7197	1
qid8114	did7206	1
qid8128	did1678	1
qid8137	did7223	1
qid8146	did7230	1
qid8164	did516	1
qid8175	did1794	1
qid8181	did7257	1
qid8183	did7259	1
qid8209	did3115	1
qid8217	did7287	1
qid8218	did7288	1
qid8233	did7302	1
qid8237	did7306	1
qid8244	did7310	1
qid8256	did5271	1
qid8261	did7323	1
qid8263	did7325	1
qid8269	did7331	1
qid8280	did7340	1
qid8285	did4850	1
qid8294	did7351	1
qid8307	did2496	1
qid8312	did2665	1
qid8331	did7378	1
qid8345	did7387	1
qid8356	did716	1
qid8357	did7396	1
qid8390	did7422	1
qid8396	did7428	1
qid8416	did3360	1
qid8428	did7454	1
qid8450	did7472	1
qid8460	did5285	1
qid8461	did7480	1
qid8493	did7505	1
qid8497	did7509	1
qid8508	did7518	1
qid8534	did7535	1
qid8553	did7552	1
qid8562	did7560	1
qid8567	did7563	1
qid8607	did7595	1
qid8627	did7610	1
qid8629	did7612	1
qid8630	did7613	1
qid8640	did7622	1
qid8652	did7633	1
qid8660	did2020	1
qid8666	did7643	1
qid8673	did7650	1
qid8679	did7655	1
qid8682	did6433	1
qid8709	did7675	1
qid8713	did7678	1
qid8716	did7681	1
qid8718	did6867	1
qid8722	did7685	1
qid8724	did7687	1
qid8756	did7711	1
qid8767	did2352	1
qid8782	did4733	1
qid8783	did7728	1
qid8792	did7736	1
qid8806	did7746	1
qid8817	did7755	1
qid8842	did7774	1
qid8843	did7775	1
qid8851	did7782	1
qid8856	did7787	1
qid8861	did7791	1
qid8873	did2393	1
qid8921	did7843	1
qid8922	did7844	1
qid8971	did2385	1
qid8982	did7888	1
qid8986	did7891	1
qid8992	did7896	1
qid8995	did7899	1
qid9006	did7910	1
qid9007	did7392	1
qid9018	did7920	1
qid9021	did7922	1
qid9026	did7926	1
qid9032	did7931	1
qid9045	did7943	1
qid9049	did7947	1
qid9051	did7949	1
qid9071	did3977	1
qid9090	did7976	1
qid9102	did7987	1
qid9112	did4323	1
qid9113	did7996	1
qid9114	did7997	1
qid9116	did1721	1
qid9119	did8001	1
qid9123	did8004	1
qid9129	did8010	1
qid9130	did7081	1
qid9133	did8013	1
qid9159	did8035	1
qid9160	did8036	1
qid9163	did2017	1
qid9167	did8041	1
qid9190	did8059	1
qid9197	did8065	1
qid9217	did2771	1
qid9219	did8084	1
qid9221	did928	1
qid9226	did8087	1
qid9242	did8103	1
qid9243	did8104	1
qid9255	did8111	1
qid9259	did8114	1
qid9275	did8125	1
qid9278	did2173	1
qid9290	did8138	1
qid9312	did8154	1
qid9352	did1269	1
qid9359	did8190	1
qid9361	did8191	1
qid9371	did8201	1
qid9376	did2981	1
qid9377	did8206	1
qid9401	did8224	1
qid9405	did8227	1
qid9406	did8228	1
qid9416	did8235	1
qid9419	did8237	1
qid9426	did7406	1
qid9433	did6606	1
qid9438	did7924	1
qid9448	did8258	1
qid9451	did8260	1
qid9480	did8284	1
qid9490	did8292	1
qid9504	did8305	1
qid9518	did1149	1
qid9521	did8317	1
qid9525	did8320	1
qid9536	did8329	1
qid9555	did8343	1
qid9557	did3423	1
qid9597	did6545	1
qid9617	did8390	1
qid9621	did5487	1
qid9623	did8394	1
qid9635	did8402	1
qid9638	did8405	1
qid9665	did8424	1
qid9666	did3219	1
qid9692	did8445	1
qid9703	did8453	1
qid9730	did8469	1
qid9747	did8481	1
qid9749	did8483	1
qid9754	did1118	1
qid9765	did7613	1
qid9767	did8494	1
qid9786	did8510	1
qid9797	did7072	1
qid9810	did8527	1
qid9823	did8539	1
qid9830	did8543	1
qid9841	did6460	1
qid9847	did8559	1
qid9857	did8565	1
qid9885	did8587	1
qid9890	did8591	1
qid9891	did8592	1
qid9931	did8622	1
qid9946	did8632	1
qid9965	did8647	1
qid9994	did8667	1
qid9997	did8670	1
qid9999	did7348	1
qid10005	did8676	1
qid10014	did8683	1
qid10035	did8699	1
qid10046	did1116	1
qid10048	did8708	1
qid10055	did8712	1
qid10061	did7998	1
qid10085	did8732	1
qid10109	did8753	1
qid10131	did8769	1
qid10158	did8788	1
qid10187	did6546	1
qid10197	did8822	1
qid10202	did8827	1
qid10204	did8829	1
qid10226	did8846	1
qid10227	did8847	1
qid10240	did8856	1
qid10248	did8864	1
qid10263	did1889	1
qid10276	did1735	1
qid10282	did5630	1
qid10294	did8894	1
qid10343	did8934	1
qid10351	did8940	1
qid10364	did8950	1
qid10369	did3058	1
qid10386	did3727	1
qid10387	did8970	1
qid10416	did5436	1
qid10421	did8995	1
qid10438	did584	1
qid10441	did9013	1
qid10444	did9015	1
qid10447	did6806	1
qid10449	did9019	1
qid10457	did9027	1
qid10459	did9029	1
qid10471	did8920	1
qid10486	did5240	1
qid10502	did9063	1
qid10507	did2120	1
qid10511	did9071	1
qid10515	did9074	1
qid10516	did2423	1
qid10518	did9075	1
qid10522	did9077	1
qid10554	did9100	1
qid10566	did9108	1
qid10576	did1039	1
qid10596	did9131	1
qid10611	did9142	1
qid10616	did9145	1
qid10617	did9146	1
qid10626	did9155	1
qid10636	did9161	1
qid10657	did9180	1
qid10684	did37	1
qid10685	did9201	1
qid10693	did9208	1
qid10722	did9230	1
qid10730	did4441	1
qid10742	did9248	1
qid10749	did9252	1
qid10752	did7029	1
qid10755	did9257	1
qid10758	did9259	1
qid10769	did9267	1
qid10771	did9268	1
qid10781	did9275	1
qid10784	did9276	1
qid10797	did9286	1
qid10803	did9291	1
qid10805	did9293	1
qid10821	did9302	1
qid10840	did9315	1
qid10841	did9316	1
qid10845	did6295	1
qid10853	did180	1
qid10858	did5258	1
qid10865	did9331	1
qid10867	did9333	1
qid10872	did703	1
qid10874	did9339	1
qid10902	did9364	1
qid10913	did420	1
qid10917	did9377	1
qid10919	did9379	1
qid10947	did9403	1
qid10952	did9408	1
qid10953	did9209	1
qid10966	did3763	1
qid10978	did9426	1
qid11002	did9445	1
qid11026	did9464	1
qid11033	did1900	1
qid11050	did9482	1
qid11067	did9496	1
qid11082	did9507	1
qid11093	did9516	1
qid11096	did9518	1
qid11141	did8138	1
qid11150	did9556	1
qid11161	did2494	1
qid11175	did9576	1
qid11180	did9579	1
qid11195	did9590	1
qid11202	did9596	1
qid11204	did2663	1
qid11217	did9606	1
qid11219	did9608	1
qid11226	did9613	1
qid11241	did9623	1
qid11255	did3322	1
qid11257	did9634	1
qid11270	did5829	1
qid11276	did9649	1
qid11317	did9679	1
qid11334	did9693	1
qid11338	did9695	1
qid11343	did9699	1
qid11344	did170	1
qid11350	did9705	1
qid11356	did9710	1
qid11360	did9712	1
qid11363	did9714	1
qid11387	did9735	1
qid11389	did3542	1
qid11394	did8332	1
qid11397	did9741	1
qid11403	did9745	1
qid11408	did2083	1
qid11422	did9755	1
qid11428	did9761	1
qid11434	did472	1
qid11443	did9774	1
qid11461	did9790	1
qid11467	did5300	1
qid11468	did9796	1
qid11483	did374	1
qid11487	did9809	1
qid11525	did9838	1
qid11544	did1148	1
qid11546	did9851	1
qid11550	did9853	1
qid11566	did9866	1
qid11567	did9867	1
qid11568	did9868	1
qid11576	did9875	1
qid11577	did9876	1
qid11586	did156	1
qid11589	did9885	1
qid11621	did9903	1
qid11623	did9905	1
qid11636	did9915	1
qid11644	did385	1
qid11658	did9926	1
qid11666	did3639	1
qid11679	did349	1
qid11693	did4036	1
qid11701	did2183	1
qid11708	did9956	1
qid11713	did9961	1
qid11733	did9977	1
qid11741	did117	1
qid11749	did9991	1
qid11753	did9995	1
qid11769	did3287	1
qid11822	did10050	1
qid11839	did10063	1
qid11841	did10065	1
qid11845	did10068	1
qid11846	did8071	1
qid11878	did10088	1
qid11895	did10103	1
qid11898	did10105	1
qid11908	did10114	1
qid11916	did7313	1
qid11918	did10120	1
qid11921	did10121	1
qid11922	did10122	1
qid11936	did10129	1
qid11948	did3963	1
qid11949	did10138	1
qid11951	did10140	1
qid11962	did10149	1
qid11970	did10154	1
qid11982	did6375	1
qid11988	did10166	1
qid11996	did10172	1
qid12012	did10182	1
qid12013	did8319	1
qid12016	did10185	1
qid12024	did6301	1
qid12034	did1074	1
qid12035	did10194	1
qid12039	did8737	1
qid12050	did10208	1
qid12057	did10214	1
qid12065	did10221	1
qid12067	did10223	1
qid12072	did1454	1
qid12085	did1142	1
qid12095	did10244	1
qid12108	did10254	1
qid12120	did10264	1
qid12145	did6948	1
qid12154	did10289	1
qid12164	did10298	1
qid12168	did10302	1
qid12176	did10308	1
qid12178	did10310	1
qid12185	did2673	1
qid12208	did10332	1
qid12209	did10241	1
qid12214	did10337	1
qid12220	did10342	1
qid12223	did10345	1
qid12224	did10346	1
qid12226	did10347	1
qid12236	did10355	1
qid12255	did10370	1
qid12263	did10376	1
qid12284	did10396	1
qid12290	did6631	1
qid12303	did10409	1
qid12317	did5841	1
qid12331	did10428	1
qid12345	did1541	1
qid12351	did10444	1
qid12370	did4477	1
qid12376	did10465	1
qid12397	did10484	1
qid12401	did10486	1
qid12406	did7410	1
qid12418	did2802	1
qid12419	did10499	1
qid12423	did10503	1
qid12441	did2149	1
qid12459	did10529	1
qid12466	did10535	1
qid12479	did10546	1
qid12495	did10560	1
qid12496	did10561	1
qid12504	did10568	1
qid12519	did75	1
qid12521	did8111	1
qid12527	did10584	1
qid12529	did10586	1
qid12544	did10598	1
qid12558	did10607	1
qid12571	did10618	1
qid12573	did10620	1
qid12581	did10628	1
qid12597	did10639	1
qid12607	did10647	1
qid12608	did10648	1
qid12633	did10672	1
qid12651	did10684	1
qid12657	did10690	1
qid12683	did1591	1
qid12691	did10719	1
qid12692	did10720	1
qid12702	did10728	1
qid12711	did10736	1
qid12719	did10743	1
qid12728	did10750	1
qid12734	did10754	1
qid12736	did10756	1
qid12748	did10767	1
qid12751	did10770	1
qid12755	did10773	1
qid12765	did10262	1
qid12774	did10787	1
qid12776	did10788	1
qid12783	did10792	1
qid12789	did10798	1
qid12820	did10819	1
qid12826	did10824	1
qid12837	did10832	1
qid12859	did3215	1
qid12866	did900	1
qid12870	did10269	1
qid12888	did10871	1
qid12889	did10872	1
qid12909	did10887	1
qid12917	did10893	1
qid12920	did10895	1
qid12930	did10904	1
qid12937	did10909	1
qid12946	did10915	1
qid12947	did10916	1
qid12966	did4445	1
qid12967	did835	1
qid12972	did10936	1
qid12984	did2355	1
qid12987	did1251	1
qid12997	did1424	1
qid13017	did10968	1
qid13026	did10975	1
qid13031	did10980	1
qid13032	did7394	1
qid13064	did11003	1
qid13067	did11006	1
qid13096	did11022	1
qid13103	did11028	1
qid13120	did11040	1
qid13126	did3735	1
qid13127	did11046	1
